Time;Extension;Load
(sec);(mm);(N)
0,00000;0,00017;-0,00418
0,00200;0,00017;-0,00421
0,00400;0,00017;-0,00420
0,00600;0,00017;-0,00416
0,01600;0,00017;-0,00411
0,02600;0,00006;-0,00407
0,03600;-0,00011;-0,00423
0,04600;-0,00051;-0,00429
0,05600;-0,00119;-0,00489
0,06600;-0,00204;-0,00498
0,07600;-0,00300;-0,00530
0,08600;-0,00408;-0,00517
0,09600;-0,00521;-0,00508
0,10600;-0,00640;-0,00507
0,11600;-0,00754;-0,00513
0,12600;-0,00861;-0,00490
0,13600;-0,00969;-0,00496
0,14600;-0,01071;-0,00529
0,15600;-0,01167;-0,00499
0,16600;-0,01269;-0,00556
0,17600;-0,01366;-0,00558
0,18600;-0,01462;-0,00577
0,19600;-0,01547;-0,00585
0,20600;-0,01638;-0,00607
0,21600;-0,01723;-0,00604
0,22600;-0,01802;-0,00635
0,23600;-0,01887;-0,00648
0,24600;-0,01972;-0,00656
0,25600;-0,02057;-0,00694
0,26600;-0,02142;-0,00681
0,27600;-0,02227;-0,00725
0,28600;-0,02318;-0,00704
0,29600;-0,02397;-0,00743
0,30600;-0,02482;-0,00734
0,31600;-0,02573;-0,00771
0,32600;-0,02658;-0,00782
0,33600;-0,02743;-0,00787
0,34600;-0,02828;-0,00820
0,35600;-0,02907;-0,00808
0,36600;-0,02986;-0,00849
0,37600;-0,03066;-0,00836
0,38600;-0,03151;-0,00884
0,39600;-0,03236;-0,00881
0,40600;-0,03326;-0,00930
0,41600;-0,03406;-0,00924
0,42600;-0,03496;-0,00955
0,43600;-0,03581;-0,00957
0,44600;-0,03666;-0,00982
0,45600;-0,03746;-0,01006
0,46600;-0,03825;-0,00996
0,47600;-0,03904;-0,01044
0,48600;-0,03989;-0,01039
0,49600;-0,04069;-0,01080
0,50600;-0,04154;-0,01085
0,51600;-0,04239;-0,01116
0,52600;-0,04324;-0,01126
0,53600;-0,04403;-0,01146
0,54600;-0,04488;-0,01177
0,55600;-0,04573;-0,01175
0,56600;-0,04658;-0,01222
0,57600;-0,04743;-0,01203
0,58600;-0,04828;-0,01266
0,59600;-0,04913;-0,01255
0,60600;-0,04998;-0,01295
0,61600;-0,05077;-0,01288
0,62600;-0,05157;-0,01314
0,63600;-0,05230;-0,01334
0,64600;-0,05315;-0,01348
0,65600;-0,05395;-0,01391
0,66600;-0,05480;-0,01379
0,67600;-0,05565;-0,01443
0,68600;-0,05650;-0,01427
0,69600;-0,05740;-0,01472
0,70600;-0,05825;-0,01460
0,71600;-0,05905;-0,01506
0,72600;-0,05990;-0,01518
0,73600;-0,06075;-0,01541
0,74600;-0,06154;-0,01566
0,75600;-0,06239;-0,01568
0,76600;-0,06318;-0,01614
0,77600;-0,06403;-0,01614
0,78600;-0,06488;-0,01661
0,79600;-0,06573;-0,01662
0,80600;-0,06653;-0,01691
0,81600;-0,06738;-0,01703
0,82600;-0,06828;-0,01748
0,83600;-0,06913;-0,01753
0,84600;-0,06998;-0,01773
0,85600;-0,07078;-0,01799
0,86600;-0,07163;-0,01812
0,87600;-0,07236;-0,01840
0,88600;-0,07316;-0,01852
0,89600;-0,07395;-0,01883
0,90600;-0,07480;-0,01906
0,91600;-0,07565;-0,01934
0,92600;-0,07650;-0,01956
0,93600;-0,07735;-0,01967
0,94600;-0,07820;-0,02016
0,95600;-0,07905;-0,02014
0,96600;-0,07990;-0,02049
0,97600;-0,08075;-0,02049
0,98600;-0,08160;-0,02090
0,99600;-0,08239;-0,02091
1,00600;-0,08324;-0,02132
1,01600;-0,08404;-0,02150
1,02600;-0,08489;-0,02169
1,03600;-0,08568;-0,02206
1,04600;-0,08653;-0,02216
1,05600;-0,08732;-0,02249
1,06600;-0,08817;-0,02249
1,07600;-0,08902;-0,02295
1,08600;-0,08993;-0,02299
1,09600;-0,09078;-0,02342
1,10600;-0,09163;-0,02347
1,11600;-0,09242;-0,02372
1,12600;-0,09327;-0,02404
1,13600;-0,09407;-0,02414
1,14600;-0,09480;-0,02440
1,15600;-0,09560;-0,02444
1,16600;-0,09645;-0,02508
1,17600;-0,09730;-0,02498
1,18600;-0,09815;-0,02558
1,19600;-0,09900;-0,02531
1,20600;-0,09985;-0,02591
1,21600;-0,10070;-0,02585
1,22600;-0,10155;-0,02641
1,23600;-0,10240;-0,02656
1,24600;-0,10325;-0,02670
1,25600;-0,10410;-0,02703
1,26600;-0,10489;-0,02700
1,27600;-0,10574;-0,02754
1,28600;-0,10653;-0,02731
1,29600;-0,10738;-0,02802
1,30600;-0,10818;-0,02772
1,31600;-0,10897;-0,02854
1,32600;-0,10976;-0,02836
1,33600;-0,11061;-0,02892
1,34600;-0,11146;-0,02895
1,35600;-0,11237;-0,02936
1,36600;-0,11316;-0,02955
1,37600;-0,11401;-0,02958
1,38600;-0,11486;-0,03000
1,39600;-0,11566;-0,02997
1,40600;-0,11651;-0,03056
1,41600;-0,11730;-0,03042
1,42600;-0,11815;-0,03107
1,43600;-0,11900;-0,03106
1,44600;-0,11985;-0,03147
1,45600;-0,12064;-0,03162
1,46600;-0,12149;-0,03190
1,47600;-0,12240;-0,03205
1,48600;-0,12325;-0,03234
1,49600;-0,12410;-0,03269
1,50600;-0,12489;-0,03270
1,51600;-0,12574;-0,03311
1,52600;-0,12654;-0,03312
1,53600;-0,12733;-0,03353
1,54600;-0,12818;-0,03358
1,55600;-0,12897;-0,03409
1,56600;-0,12982;-0,03403
1,57600;-0,13062;-0,03449
1,58600;-0,13147;-0,03462
1,59600;-0,13232;-0,03484
1,60600;-0,13322;-0,03517
1,61600;-0,13402;-0,03525
1,62600;-0,13487;-0,03576
1,63600;-0,13572;-0,03569
1,64600;-0,13651;-0,03633
1,65600;-0,13730;-0,03608
1,66600;-0,13810;-0,03676
1,67600;-0,13895;-0,03674
1,68600;-0,13980;-0,03721
1,69600;-0,14059;-0,03734
1,70600;-0,14150;-0,03758
