Time;Extension;Load
(sec);(mm);(N)
0,00000;0,00000;-0,00026
0,00200;0,00000;-0,00021
0,00400;0,00000;-0,00020
0,01400;0,00000;-0,00054
0,02400;0,00000;-0,00033
0,03400;0,00000;-0,00038
0,04400;-0,00011;-0,00016
0,05400;-0,00011;-0,00020
0,06400;-0,00017;-0,00016
0,07400;-0,00017;-0,00022
0,08400;-0,00023;-0,00044
0,09400;-0,00034;-0,00043
0,10400;-0,00051;-0,00073
0,11400;-0,00074;-0,00042
0,12400;-0,00096;-0,00061
0,13400;-0,00125;-0,00028
0,14400;-0,00153;-0,00051
0,15400;-0,00181;-0,00021
0,16400;-0,00204;-0,00035
0,17400;-0,00232;-0,00029
0,18400;-0,00261;-0,00033
0,19400;-0,00283;-0,00039
0,20400;-0,00306;-0,00028
0,21400;-0,00329;-0,00042
0,22400;-0,00346;0,00000
0,23400;-0,00363;-0,00021
0,24400;-0,00380;-0,00007
0,25400;-0,00402;-0,00039
0,26400;-0,00419;-0,00023
0,27400;-0,00436;-0,00060
0,28400;-0,00453;-0,00037
0,29400;-0,00476;-0,00052
0,30400;-0,00493;-0,00027
0,31400;-0,00510;-0,00027
0,32400;-0,00533;-0,00019
0,33400;-0,00544;-0,00030
0,34400;-0,00561;-0,00040
0,35400;-0,00578;-0,00032
0,36400;-0,00595;-0,00061
0,37400;-0,00606;-0,00035
0,38400;-0,00623;-0,00053
0,39400;-0,00640;-0,00026
0,40400;-0,00663;-0,00047
0,41400;-0,00680;-0,00015
0,42400;-0,00697;-0,00040
0,43400;-0,00714;-0,00032
0,44400;-0,00731;-0,00045
0,45400;-0,00748;-0,00057
0,46400;-0,00765;-0,00030
0,47400;-0,00782;-0,00047
0,48400;-0,00799;-0,00033
0,49400;-0,00816;-0,00028
0,50400;-0,00833;-0,00032
0,51400;-0,00850;-0,00045
0,52400;-0,00867;-0,00028
0,53400;-0,00878;-0,00073
0,54400;-0,00895;-0,00048
0,55400;-0,00912;-0,00047
0,56400;-0,00929;-0,00049
0,57400;-0,00941;-0,00022
0,58400;-0,00958;-0,00033
0,59400;-0,00975;-0,00040
0,60400;-0,00997;-0,00040
0,61400;-0,01014;-0,00045
0,62400;-0,01031;-0,00060
0,63400;-0,01043;-0,00033
0,64400;-0,01060;-0,00056
0,65400;-0,01077;-0,00029
0,66400;-0,01094;-0,00029
0,67400;-0,01111;-0,00041
0,68400;-0,01128;-0,00044
0,69400;-0,01145;-0,00049
0,70400;-0,01162;-0,00057
0,71400;-0,01179;-0,00054
0,72400;-0,01196;-0,00044
0,73400;-0,01213;-0,00065
0,74400;-0,01230;-0,00032
0,75400;-0,01252;-0,00054
0,76400;-0,01269;-0,00025
0,77400;-0,01286;-0,00052
0,78400;-0,01303;-0,00044
0,79400;-0,01320;-0,00054
0,80400;-0,01337;-0,00044
0,81400;-0,01354;-0,00050
0,82400;-0,01371;-0,00047
0,83400;-0,01388;-0,00035
0,84400;-0,01400;-0,00049
0,85400;-0,01417;-0,00033
0,86400;-0,01434;-0,00062
0,87400;-0,01451;-0,00045
0,88400;-0,01468;-0,00079
0,89400;-0,01479;-0,00050
0,90400;-0,01496;-0,00058
0,91400;-0,01513;-0,00056
0,92400;-0,01530;-0,00051
0,93400;-0,01547;-0,00043
0,94400;-0,01564;-0,00056
0,95400;-0,01581;-0,00059
0,96400;-0,01598;-0,00042
0,97400;-0,01615;-0,00072
0,98400;-0,01626;-0,00038
0,99400;-0,01643;-0,00049
1,00400;-0,01655;-0,00054
1,01400;-0,01672;-0,00044
1,02400;-0,01689;-0,00042
1,03400;-0,01706;-0,00063
1,04400;-0,01723;-0,00056
1,05400;-0,01740;-0,00053
1,06400;-0,01757;-0,00071
1,07400;-0,01779;-0,00049
1,08400;-0,01796;-0,00068
1,09400;-0,01813;-0,00056
1,10400;-0,01830;-0,00068
1,11400;-0,01847;-0,00052
1,12400;-0,01864;-0,00070
1,13400;-0,01881;-0,00048
1,14400;-0,01898;-0,00053
1,15400;-0,01915;-0,00056
1,16400;-0,01932;-0,00049
1,17400;-0,01949;-0,00063
1,18400;-0,01961;-0,00058
1,19400;-0,01978;-0,00064
1,20400;-0,01995;-0,00044
1,21400;-0,02012;-0,00074
1,22400;-0,02029;-0,00047
1,23400;-0,02046;-0,00070
1,24400;-0,02063;-0,00055
1,25400;-0,02085;-0,00059
1,26400;-0,02102;-0,00059
1,27400;-0,02119;-0,00069
1,28400;-0,02136;-0,00066
1,29400;-0,02153;-0,00056
1,30400;-0,02170;-0,00078
1,31400;-0,02182;-0,00045
1,32400;-0,02199;-0,00067
1,33400;-0,02216;-0,00051
