Time;Extension;Load
(sec);(mm);(N)
0,00000;0,00000;-0,00145
0,00200;0,00000;-0,00132
0,00400;0,00000;-0,00119
0,01400;0,00000;-0,00154
0,02400;0,00000;-0,00119
0,03400;0,00000;-0,00151
0,04400;0,00000;-0,00113
0,05400;-0,00011;-0,00149
0,06400;-0,00011;-0,00118
0,07400;-0,00017;-0,00144
0,08400;-0,00023;-0,00127
0,09400;-0,00028;-0,00135
0,10400;-0,00051;-0,00151
0,11400;-0,00068;-0,00145
0,12400;-0,00096;-0,00173
0,13400;-0,00125;-0,00151
0,14400;-0,00153;-0,00183
0,15400;-0,00176;-0,00122
0,16400;-0,00204;-0,00167
0,17400;-0,00227;-0,00102
0,18400;-0,00255;-0,00147
0,19400;-0,00283;-0,00124
0,20400;-0,00306;-0,00144
0,21400;-0,00329;-0,00135
0,22400;-0,00351;-0,00143
0,23400;-0,00374;-0,00150
0,24400;-0,00391;-0,00122
0,25400;-0,00414;-0,00160
0,26400;-0,00431;-0,00106
0,27400;-0,00448;-0,00158
0,28400;-0,00465;-0,00116
0,29400;-0,00476;-0,00169
0,30400;-0,00493;-0,00128
0,31400;-0,00510;-0,00157
0,32400;-0,00527;-0,00137
0,33400;-0,00538;-0,00137
0,34400;-0,00555;-0,00154
0,35400;-0,00578;-0,00136
0,36400;-0,00595;-0,00163
0,37400;-0,00612;-0,00136
0,38400;-0,00629;-0,00177
0,39400;-0,00652;-0,00124
0,40400;-0,00669;-0,00168
0,41400;-0,00686;-0,00113
0,42400;-0,00697;-0,00155
0,43400;-0,00714;-0,00145
0,44400;-0,00731;-0,00144
0,45400;-0,00748;-0,00161
0,46400;-0,00759;-0,00135
0,47400;-0,00776;-0,00160
0,48400;-0,00793;-0,00134
0,49400;-0,00810;-0,00161
0,50400;-0,00827;-0,00123
0,51400;-0,00844;-0,00169
0,52400;-0,00861;-0,00129
0,53400;-0,00878;-0,00175
0,54400;-0,00895;-0,00141
0,55400;-0,00912;-0,00163
0,56400;-0,00929;-0,00150
0,57400;-0,00946;-0,00151
0,58400;-0,00963;-0,00148
0,59400;-0,00980;-0,00147
0,60400;-0,00997;-0,00163
0,61400;-0,01014;-0,00159
0,62400;-0,01031;-0,00168
0,63400;-0,01043;-0,00148
0,64400;-0,01060;-0,00170
0,65400;-0,01077;-0,00139
0,66400;-0,01094;-0,00171
0,67400;-0,01111;-0,00134
0,68400;-0,01128;-0,00161
0,69400;-0,01145;-0,00164
0,70400;-0,01162;-0,00181
0,71400;-0,01179;-0,00151
0,72400;-0,01196;-0,00169
0,73400;-0,01213;-0,00159
0,74400;-0,01230;-0,00145
0,75400;-0,01241;-0,00167
0,76400;-0,01258;-0,00151
0,77400;-0,01275;-0,00171
0,78400;-0,01292;-0,00163
0,79400;-0,01309;-0,00192
0,80400;-0,01326;-0,00156
0,81400;-0,01349;-0,00186
0,82400;-0,01366;-0,00166
0,83400;-0,01383;-0,00167
0,84400;-0,01400;-0,00169
0,85400;-0,01417;-0,00169
0,86400;-0,01434;-0,00163
0,87400;-0,01451;-0,00167
0,88400;-0,01468;-0,00177
0,89400;-0,01485;-0,00157
0,90400;-0,01502;-0,00179
0,91400;-0,01513;-0,00164
0,92400;-0,01530;-0,00165
0,93400;-0,01547;-0,00169
0,94400;-0,01564;-0,00177
0,95400;-0,01575;-0,00174
0,96400;-0,01592;-0,00180
0,97400;-0,01609;-0,00179
0,98400;-0,01626;-0,00172
0,99400;-0,01643;-0,00179
1,00400;-0,01660;-0,00176
1,01400;-0,01683;-0,00174
1,02400;-0,01700;-0,00174
1,03400;-0,01717;-0,00185
1,04400;-0,01734;-0,00172
1,05400;-0,01757;-0,00173
1,06400;-0,01774;-0,00173
1,07400;-0,01791;-0,00165
1,08400;-0,01808;-0,00172
1,09400;-0,01819;-0,00174
1,10400;-0,01836;-0,00181
1,11400;-0,01853;-0,00170
1,12400;-0,01870;-0,00191
1,13400;-0,01887;-0,00176
1,14400;-0,01904;-0,00190
1,15400;-0,01921;-0,00176
1,16400;-0,01938;-0,00176
1,17400;-0,01955;-0,00168
1,18400;-0,01972;-0,00185
1,19400;-0,01989;-0,00170
1,20400;-0,02006;-0,00180
1,21400;-0,02023;-0,00176
1,22400;-0,02040;-0,00180
1,23400;-0,02057;-0,00190
1,24400;-0,02074;-0,00176
1,25400;-0,02085;-0,00178
1,26400;-0,02102;-0,00170
1,27400;-0,02114;-0,00183
1,28400;-0,02131;-0,00177
1,29400;-0,02148;-0,00190
1,30400;-0,02165;-0,00169
1,31400;-0,02176;-0,00190
1,32400;-0,02193;-0,00182
1,33400;-0,02210;-0,00191
1,34400;-0,02227;-0,00186
1,35400;-0,02244;-0,00179
1,36400;-0,02261;-0,00197
1,37400;-0,02278;-0,00199
1,38400;-0,02295;-0,00193
1,39400;-0,02306;-0,00189
1,40400;-0,02323;-0,00178
1,41400;-0,02340;-0,00165
1,42400;-0,02357;-0,00196
1,43400;-0,02374;-0,00184
1,44400;-0,02391;-0,00199
1,45400;-0,02414;-0,00201
1,46400;-0,02431;-0,00210
1,47400;-0,02448;-0,00185
1,48400;-0,02465;-0,00205
1,49400;-0,02482;-0,00186
1,50400;-0,02499;-0,00196
1,51400;-0,02522;-0,00205
1,52400;-0,02539;-0,00202
1,53400;-0,02556;-0,00195
1,54400;-0,02573;-0,00197
1,55400;-0,02590;-0,00201
1,56400;-0,02601;-0,00176
1,57400;-0,02618;-0,00210
1,58400;-0,02635;-0,00175
1,59400;-0,02646;-0,00204
1,60400;-0,02663;-0,00191
1,61400;-0,02680;-0,00216
1,62400;-0,02697;-0,00195
1,63400;-0,02714;-0,00224
1,64400;-0,02737;-0,00194
1,65400;-0,02754;-0,00202
1,66400;-0,02771;-0,00204
1,67400;-0,02788;-0,00200
1,68400;-0,02805;-0,00206
