Time;Extension;Load
(sec);(mm);(N)
0,00000;0,00000;-0,00041
0,00200;0,00000;-0,00039
0,00400;0,00000;-0,00040
0,01400;0,00000;-0,00048
0,02400;0,00000;-0,00048
0,03400;0,00000;-0,00051
0,04400;-0,00011;-0,00053
0,05400;-0,00011;-0,00053
0,06400;-0,00011;-0,00065
0,07400;-0,00017;-0,00070
0,08400;-0,00023;-0,00058
0,09400;-0,00034;-0,00054
0,10400;-0,00051;-0,00060
0,11400;-0,00068;-0,00058
0,12400;-0,00096;-0,00075
0,13400;-0,00119;-0,00075
0,14400;-0,00147;-0,00075
0,15400;-0,00176;-0,00076
0,16400;-0,00198;-0,00069
0,17400;-0,00227;-0,00055
0,18400;-0,00255;-0,00058
0,19400;-0,00283;-0,00029
0,20400;-0,00306;-0,00037
0,21400;-0,00329;-0,00036
0,22400;-0,00351;-0,00050
0,23400;-0,00374;-0,00049
0,24400;-0,00397;-0,00060
0,25400;-0,00414;-0,00050
0,26400;-0,00431;-0,00051
0,27400;-0,00448;-0,00049
0,28400;-0,00465;-0,00036
0,29400;-0,00482;-0,00045
0,30400;-0,00493;-0,00041
0,31400;-0,00510;-0,00061
0,32400;-0,00521;-0,00057
0,33400;-0,00544;-0,00066
0,34400;-0,00561;-0,00060
0,35400;-0,00578;-0,00062
0,36400;-0,00595;-0,00059
0,37400;-0,00612;-0,00058
0,38400;-0,00629;-0,00049
0,39400;-0,00646;-0,00064
0,40400;-0,00669;-0,00060
0,41400;-0,00680;-0,00072
0,42400;-0,00697;-0,00061
0,43400;-0,00714;-0,00054
0,44400;-0,00731;-0,00052
0,45400;-0,00748;-0,00058
0,46400;-0,00759;-0,00051
0,47400;-0,00776;-0,00051
0,48400;-0,00793;-0,00061
0,49400;-0,00810;-0,00054
0,50400;-0,00827;-0,00078
0,51400;-0,00844;-0,00069
0,52400;-0,00861;-0,00066
0,53400;-0,00878;-0,00050
0,54400;-0,00895;-0,00065
0,55400;-0,00912;-0,00060
0,56400;-0,00929;-0,00059
0,57400;-0,00946;-0,00060
0,58400;-0,00963;-0,00061
0,59400;-0,00980;-0,00063
0,60400;-0,00997;-0,00060
0,61400;-0,01014;-0,00063
0,62400;-0,01026;-0,00046
0,63400;-0,01043;-0,00072
0,64400;-0,01060;-0,00062
0,65400;-0,01077;-0,00061
0,66400;-0,01094;-0,00075
0,67400;-0,01111;-0,00058
0,68400;-0,01128;-0,00068
0,69400;-0,01145;-0,00061
0,70400;-0,01162;-0,00057
0,71400;-0,01179;-0,00046
0,72400;-0,01196;-0,00078
0,73400;-0,01213;-0,00044
0,74400;-0,01230;-0,00065
0,75400;-0,01241;-0,00053
0,76400;-0,01258;-0,00063
0,77400;-0,01275;-0,00060
0,78400;-0,01292;-0,00060
0,79400;-0,01309;-0,00067
0,80400;-0,01326;-0,00058
0,81400;-0,01343;-0,00071
0,82400;-0,01366;-0,00055
0,83400;-0,01383;-0,00075
0,84400;-0,01400;-0,00056
0,85400;-0,01417;-0,00074
0,86400;-0,01434;-0,00050
0,87400;-0,01451;-0,00073
0,88400;-0,01468;-0,00049
0,89400;-0,01485;-0,00063
0,90400;-0,01502;-0,00087
0,91400;-0,01519;-0,00057
0,92400;-0,01530;-0,00074
0,93400;-0,01547;-0,00063
0,94400;-0,01564;-0,00075
0,95400;-0,01575;-0,00050
0,96400;-0,01592;-0,00084
0,97400;-0,01609;-0,00038
0,98400;-0,01626;-0,00079
0,99400;-0,01643;-0,00067
1,00400;-0,01660;-0,00071
1,01400;-0,01677;-0,00065
1,02400;-0,01700;-0,00069
1,03400;-0,01717;-0,00071
1,04400;-0,01734;-0,00069
1,05400;-0,01757;-0,00076
1,06400;-0,01774;-0,00058
1,07400;-0,01791;-0,00070
1,08400;-0,01808;-0,00052
1,09400;-0,01819;-0,00067
1,10400;-0,01836;-0,00049
1,11400;-0,01853;-0,00075
1,12400;-0,01870;-0,00060
1,13400;-0,01887;-0,00073
1,14400;-0,01904;-0,00071
1,15400;-0,01921;-0,00078
1,16400;-0,01938;-0,00064
1,17400;-0,01955;-0,00075
1,18400;-0,01972;-0,00063
1,19400;-0,01989;-0,00057
1,20400;-0,02006;-0,00070
1,21400;-0,02023;-0,00054
1,22400;-0,02040;-0,00076
1,23400;-0,02057;-0,00075
1,24400;-0,02068;-0,00088
1,25400;-0,02085;-0,00067
1,26400;-0,02102;-0,00073
1,27400;-0,02114;-0,00052
1,28400;-0,02131;-0,00061
1,29400;-0,02148;-0,00060
1,30400;-0,02159;-0,00070
1,31400;-0,02182;-0,00070
1,32400;-0,02193;-0,00069
1,33400;-0,02210;-0,00084
1,34400;-0,02227;-0,00067
1,35400;-0,02244;-0,00076
1,36400;-0,02261;-0,00084
1,37400;-0,02278;-0,00071
1,38400;-0,02295;-0,00075
1,39400;-0,02306;-0,00081
1,40400;-0,02323;-0,00052
1,41400;-0,02340;-0,00081
1,42400;-0,02357;-0,00064
1,43400;-0,02374;-0,00066
1,44400;-0,02391;-0,00070
1,45400;-0,02408;-0,00074
1,46400;-0,02431;-0,00065
1,47400;-0,02448;-0,00084
1,48400;-0,02465;-0,00071
1,49400;-0,02482;-0,00074
1,50400;-0,02499;-0,00082
1,51400;-0,02522;-0,00068
1,52400;-0,02539;-0,00075
1,53400;-0,02556;-0,00059
1,54400;-0,02573;-0,00072
1,55400;-0,02590;-0,00064
1,56400;-0,02601;-0,00085
1,57400;-0,02618;-0,00074
1,58400;-0,02629;-0,00079
1,59400;-0,02646;-0,00075
1,60400;-0,02663;-0,00073
1,61400;-0,02680;-0,00065
1,62400;-0,02697;-0,00068
1,63400;-0,02714;-0,00083
1,64400;-0,02731;-0,00075
1,65400;-0,02754;-0,00095
1,66400;-0,02771;-0,00084
1,67400;-0,02788;-0,00089
1,68400;-0,02805;-0,00065
1,69400;-0,02822;-0,00079
1,70400;-0,02839;-0,00048
1,71400;-0,02856;-0,00085
1,72400;-0,02867;-0,00048
1,73400;-0,02884;-0,00091
1,74400;-0,02901;-0,00067
1,75400;-0,02918;-0,00086
1,76400;-0,02930;-0,00073
1,77400;-0,02947;-0,00076
1,78400;-0,02964;-0,00075
1,79400;-0,02981;-0,00072
1,80400;-0,02998;-0,00068
1,81400;-0,03015;-0,00070
1,82400;-0,03032;-0,00106
1,83400;-0,03049;-0,00067
1,84400;-0,03066;-0,00103
1,85400;-0,03083;-0,00066
1,86400;-0,03100;-0,00074
1,87400;-0,03117;-0,00072
1,88400;-0,03134;-0,00079
1,89400;-0,03151;-0,00072
1,90400;-0,03168;-0,00098
1,91400;-0,03185;-0,00092
1,92400;-0,03202;-0,00077
1,93400;-0,03219;-0,00091
1,94400;-0,03230;-0,00068
1,95400;-0,03247;-0,00079
1,96400;-0,03264;-0,00062
1,97400;-0,03281;-0,00082
1,98400;-0,03298;-0,00084
1,99400;-0,03315;-0,00088
2,00400;-0,03332;-0,00091
2,01400;-0,03349;-0,00075
2,02400;-0,03366;-0,00099
2,03400;-0,03383;-0,00069
2,04400;-0,03400;-0,00106
2,05400;-0,03411;-0,00044
2,06400;-0,03428;-0,00108
2,07400;-0,03440;-0,00060
2,08400;-0,03457;-0,00105
2,09400;-0,03474;-0,00079
2,10400;-0,03491;-0,00075
2,11400;-0,03513;-0,00094
2,12400;-0,03530;-0,00058
2,13400;-0,03547;-0,00123
2,14400;-0,03564;-0,00030
2,15400;-0,03581;-0,00131
2,16400;-0,03598;-0,00064
2,17400;-0,03615;-0,00116
2,18400;-0,03632;-0,00096
2,19400;-0,03649;-0,00069
2,20400;-0,03666;-0,00091
2,21400;-0,03678;-0,00063
2,22400;-0,03695;-0,00104
2,23400;-0,03712;-0,00052
2,24400;-0,03723;-0,00129
2,25400;-0,03740;-0,00048
2,26400;-0,03757;-0,00150
2,27400;-0,03774;-0,00045
2,28400;-0,03791;-0,00122
2,29400;-0,03814;-0,00074
2,30400;-0,03831;-0,00069
2,31400;-0,03848;-0,00109
2,32400;-0,03870;-0,00057
2,33400;-0,03887;-0,00134
2,34400;-0,03904;-0,00047
2,35400;-0,03921;-0,00137
2,36400;-0,03938;-0,00046
2,37400;-0,03955;-0,00133
2,38400;-0,03967;-0,00046
2,39400;-0,03984;-0,00134
2,40400;-0,04001;-0,00061
2,41400;-0,04018;-0,00121
2,42400;-0,04035;-0,00092
2,43400;-0,04052;-0,00081
2,44400;-0,04069;-0,00119
2,45400;-0,04086;-0,00053
2,46400;-0,04103;-0,00133
2,47400;-0,04120;-0,00037
2,48400;-0,04137;-0,00141
2,49400;-0,04154;-0,00036
2,50400;-0,04171;-0,00147
2,51400;-0,04188;-0,00049
2,52400;-0,04205;-0,00130
2,53400;-0,04222;-0,00072
2,54400;-0,04239;-0,00104
2,55400;-0,04256;-0,00094
2,56400;-0,04267;-0,00081
2,57400;-0,04284;-0,00121
2,58400;-0,04295;-0,00051
2,59400;-0,04312;-0,00155
2,60400;-0,04329;-0,00035
2,61400;-0,04346;-0,00147
2,62400;-0,04358;-0,00043
2,63400;-0,04375;-0,00138
2,64400;-0,04392;-0,00058
2,65400;-0,04409;-0,00138
2,66400;-0,04431;-0,00084
2,67400;-0,04448;-0,00108
2,68400;-0,04460;-0,00110
2,69400;-0,04477;-0,00067
2,70400;-0,04494;-0,00115
2,71400;-0,04505;-0,00047
2,72400;-0,04522;-0,00136
2,73400;-0,04539;-0,00049
2,74400;-0,04562;-0,00161
2,75400;-0,04579;-0,00067
2,76400;-0,04596;-0,00141
2,77400;-0,04613;-0,00077
2,78400;-0,04635;-0,00112
2,79400;-0,04652;-0,00082
2,80400;-0,04669;-0,00092
2,81400;-0,04686;-0,00092
2,82400;-0,04703;-0,00073
2,83400;-0,04720;-0,00133
2,84400;-0,04737;-0,00063
2,85400;-0,04754;-0,00130
2,86400;-0,04771;-0,00061
2,87400;-0,04788;-0,00129
2,88400;-0,04805;-0,00067
2,89400;-0,04817;-0,00119
2,90400;-0,04834;-0,00079
2,91400;-0,04851;-0,00103
2,92400;-0,04868;-0,00105
2,93400;-0,04885;-0,00099
2,94400;-0,04902;-0,00112
2,95400;-0,04919;-0,00082
2,96400;-0,04936;-0,00131
2,97400;-0,04953;-0,00067
2,98400;-0,04970;-0,00134
2,99400;-0,04987;-0,00071
3,00400;-0,05004;-0,00114
3,01400;-0,05015;-0,00089
3,02400;-0,05032;-0,00119
3,03400;-0,05049;-0,00098
3,04400;-0,05066;-0,00112
3,05400;-0,05083;-0,00102
3,06400;-0,05100;-0,00091
3,07400;-0,05117;-0,00128
3,08400;-0,05134;-0,00088
3,09400;-0,05151;-0,00118
3,10400;-0,05168;-0,00077
3,11400;-0,05185;-0,00124
3,12400;-0,05202;-0,00076
3,13400;-0,05219;-0,00134
3,14400;-0,05242;-0,00078
3,15400;-0,05259;-0,00120
3,16400;-0,05276;-0,00095
