"3b, Height difference","3b, Measured redshift","3b, Uncertainty","3a, Measurement run#","3a, Measured redshift gradien t","3a, Uncertainty"
cm,1e-19,1e-19,,1e-19/cm,1e-19/cm
0.25,-2.943597600750136,0.6867700606639362,1,-15.721620183759372,2.713345735661244
0.5,-6.43016785640077,0.5087085144387439,2,-10.736818123880271,2.8036991409782464
0.75,-8.427872488195288,0.660633464684558,3,-15.548702170621842,2.4202905635924647
1.0,-11.955018632210269,1.1305939800725837,4,-9.225705555466803,2.706147515263497
,,,5,-13.988537727206191,2.3371621136681178
,,,6,-15.370872509007581,2.3325484490876427
,,,7,-13.118142217697956,2.5340433927948562
,,,8,-9.09822510370597,3.1695239616389554
,,,9,-7.655670267514898,2.7899304948897017
,,,10,-12.121450818277694,2.3668142264087844
,,,11,-14.637711618202216,2.558214957984931
,,,12,-9.53618024534607,2.2823978838850656
,,,13,-8.67545063419641,3.0773636397390804
,,,14,-13.442899820387119,2.1992767058597873
