#RUN ON SOFTWARE VERSION:
2.1
#FIELD CONFIGURATIONS
Magnet: EM7-CSB
Power supply: LS648
Magnet mode: High field
Head amplitude: 100%
Gap settings: Gap 3 - SSVT
Coil set name: LC-86
Coil set serial number: A13AK
Coil set balance number: 0
Moment X calibration value: -0.0841900193038553 A·m²/volt
Moment X calibration field: 0.5 T
Moment X calibration expected moment: 0.00692 A·m²
Moment X calibration standard ID: Ni Sphere
Moment X calibration comments: 
#SAMPLE SETTINGS
ID: Sample1
Volume: 1.00000 cm³
Area: 1.00000 cm²
Mass: 1.00000 g
Demagnetization factor: 0.00000 in SI µ0H
#REMANENCE CURVES MEASUREMENT
#ACQUISITION SETUP
IRM: False
DCD: True
Saturation field: 2.5 T
Repeat saturation: False
Sequence: Nonlinear
First non-zero field: 100 µT
Number of points: 150
Final field: 2.5 T
Field ramp rate: 400 mT/s
Averaging time: 5 s
#ADVANCED ACQUISITION SETUP
Measure moment at applied fields: False
Pause at saturation: 0 s
Pause at applied field: 0 s
Pause at zero field: 0 s
Moment meter range mode: Manual
Moment meter manual X range: X5 (840 nA·m²)
#DISPLAY SETUP
X axis: Field (µ0H)
Left Y axis: Moment (m)
Right Y axis: None
#EXTRACTED PARAMETERS
No sample characterization parameter extractions enabled.
Hr [T]: -0.0449801972339437
mrMax [A·m²]: 3.19717658487726E-07
mr(100mT)/mrMax [%]: 50.4095951093739
mr(200mT)/mrMax [%]: 76.9897985621983
mr(300mT)/mrMax [%]: 86.871001762697
START TIME: 01/14/2023 08:27:55.514 AM
FINISH TIME: 01/14/2023 09:29:26.964 AM
#DATA: 2
##DATA TABLE Moment (m) [A·m²] vs Field (µ0H) [T]
Step,Iteration,Segment,Field (µ0H) [T],Moment (m) [A·m²],Time Stamp [s],,Field Status,Moment (m) Status,
2,0,0,9.3780507914474448E-08,3.1883158578826817E-07,0,GOOD,GOOD,
2,0,0,-0.0001006130282569452,3.1818542070882362E-07,7.26,GOOD,GOOD,
2,0,0,-0.00020671911110091643,3.1778110974860351E-07,14.5,GOOD,GOOD,
2,0,0,-0.00031769358473380746,3.1702002872866857E-07,22.37,GOOD,GOOD,
2,0,0,-0.00042917341673439095,3.1577657956672885E-07,31,GOOD,GOOD,
2,0,0,-0.00055126398028436515,3.1489865751218276E-07,41.78,GOOD,GOOD,
2,0,0,-0.00067940575403989531,3.1408151461053468E-07,51.39,GOOD,GOOD,
2,0,0,-0.00081135539163229749,3.1341252045618879E-07,61.82,GOOD,GOOD,
2,0,0,-0.00095306632241392783,3.1213420891668467E-07,73.19,GOOD,GOOD,
2,0,0,-0.0010962404891147984,3.1121094605826134E-07,84.44,GOOD,GOOD,
2,0,0,-0.0012538444580579586,3.1027201414427278E-07,94.83,GOOD,GOOD,
2,0,0,-0.0014157074253834689,3.0893691387875664E-07,105.97,GOOD,GOOD,
2,0,0,-0.0015839454273090447,3.078137793665579E-07,117.5,GOOD,GOOD,
2,0,0,-0.0017597328550681527,3.0627686941275199E-07,128.72,GOOD,GOOD,
2,0,0,-0.0019466130782771018,3.0500129537906326E-07,139.52,GOOD,GOOD,
2,0,0,-0.0021414977143155785,3.0417292469511285E-07,151.4,GOOD,GOOD,
2,0,0,-0.0023459762629519281,3.0257519198157945E-07,163.65,GOOD,GOOD,
2,0,0,-0.0025600443186930329,3.0103542235392246E-07,175.67,GOOD,GOOD,
2,0,0,-0.002784870937661596,2.994872813635732E-07,187.91,GOOD,GOOD,
2,0,0,-0.0030216856181224903,2.9785971518509265E-07,201.25,GOOD,GOOD,
2,0,0,-0.0032674362975058401,2.9562396486302607E-07,214.58,GOOD,GOOD,
2,0,0,-0.003529225946422541,2.9392556197440921E-07,226.91,GOOD,GOOD,
2,0,0,-0.003801689785167389,2.9197116303059147E-07,239.37,GOOD,GOOD,
2,0,0,-0.0040857535426989137,2.8943486865912504E-07,253.6,GOOD,GOOD,
2,0,0,-0.0043882177279759727,2.872033248072618E-07,267.32,GOOD,GOOD,
2,0,0,-0.0047016076156431467,2.851621002249946E-07,279.91,GOOD,GOOD,
2,0,0,-0.00503138048033992,2.8224688027022886E-07,295.49,GOOD,GOOD,
2,0,0,-0.0053771714732784139,2.7985793804615276E-07,310.83,GOOD,GOOD,
2,0,0,-0.0057404353430413994,2.7660695101794947E-07,326.51,GOOD,GOOD,
2,0,0,-0.0061202641045505438,2.7384882116306088E-07,342.09,GOOD,GOOD,
2,0,0,-0.006518507899854596,2.7064096006402413E-07,357.65,GOOD,GOOD,
2,0,0,-0.0069370816686468786,2.6766567918649194E-07,372.36,GOOD,GOOD,
2,0,0,-0.0073752673117050737,2.6406906102095426E-07,387.74,GOOD,GOOD,
2,0,0,-0.0078350575329873429,2.6043488045323598E-07,403.36,GOOD,GOOD,
2,0,0,-0.0083172485984540009,2.5657510609830576E-07,419.77,GOOD,GOOD,
2,0,0,-0.0088270085504881194,2.52508738933377E-07,435.95,GOOD,GOOD,
2,0,0,-0.0093597448439847256,2.4866532326510796E-07,451.12,GOOD,GOOD,
2,0,0,-0.0099139842227591365,2.4391511862520831E-07,467.22,GOOD,GOOD,
2,0,0,-0.010499973153115254,2.39637613011595E-07,480.44,GOOD,GOOD,
2,0,0,-0.011113779939625815,2.3440721387125345E-07,495.3,GOOD,GOOD,
2,0,0,-0.011753889057162441,2.2917715194685002E-07,510.12,GOOD,GOOD,
2,0,0,-0.012430836512861613,2.237692357210112E-07,524.68,GOOD,GOOD,
2,0,0,-0.013137125128097586,2.1790677744912453E-07,539.93,GOOD,GOOD,
2,0,0,-0.013878178644401115,2.1182536170627189E-07,555.13,GOOD,GOOD,
2,0,0,-0.014657612994700255,2.0540423275905846E-07,570.21,GOOD,GOOD,
2,0,0,-0.015473999811135763,1.9902864262671587E-07,585.19,GOOD,GOOD,
2,0,0,-0.016327193871056373,1.9177292762495089E-07,601,GOOD,GOOD,
2,0,0,-0.017226405202151726,1.8459178455114348E-07,616.87,GOOD,GOOD,
2,0,0,-0.018171276072678291,1.7712528033818119E-07,631.96,GOOD,GOOD,
2,0,0,-0.019155218663742261,1.6929742539587071E-07,647.7,GOOD,GOOD,
2,0,0,-0.020190847765063993,1.6112464374454684E-07,665.56,GOOD,GOOD,
2,0,0,-0.021280365501159901,1.5278709776564614E-07,683.12,GOOD,GOOD,
2,0,0,-0.022417719362285284,1.438559654600148E-07,700.76,GOOD,GOOD,
2,0,0,-0.02361212767563781,1.3456086308645336E-07,718.75,GOOD,GOOD,
2,0,0,-0.024865744021080969,1.2522613820387425E-07,736.79,GOOD,GOOD,
2,0,0,-0.026182020035393917,1.1540348232229513E-07,755.21,GOOD,GOOD,
2,0,0,-0.027559192214160429,1.0558661139008827E-07,774.01,GOOD,GOOD,
2,0,0,-0.029005535365480773,9.5420273967815889E-08,792.82,GOOD,GOOD,
2,0,0,-0.030528223803173448,8.5318615360717535E-08,810.5,GOOD,GOOD,
2,0,0,-0.032118479250993259,7.450034805720853E-08,829.35,GOOD,GOOD,
2,0,0,-0.033784644987842234,6.3576787287996836E-08,848.51,GOOD,GOOD,
2,0,0,-0.035534938793723124,5.2567081227273365E-08,867.98,GOOD,GOOD,
2,0,0,-0.037373823581390055,4.1602596664209054E-08,887.39,GOOD,GOOD,
2,0,0,-0.039296783040916543,3.0313826693450217E-08,907.92,GOOD,GOOD,
2,0,0,-0.041319036372887627,1.9030738158485958E-08,927.68,GOOD,GOOD,
2,0,0,-0.043435938202582659,7.7924847784670231E-09,947.98,GOOD,GOOD,
2,0,0,-0.045658615710938273,-3.4233671605934687E-09,967.66,GOOD,GOOD,
2,0,0,-0.047992647533930871,-1.4571976289719295E-08,987.17,GOOD,GOOD,
2,0,0,-0.050434775187431023,-2.5866992309479187E-08,1007.37,GOOD,GOOD,
2,0,0,-0.052999209263303738,-3.7104973462966175E-08,1027.92,GOOD,GOOD,
2,0,0,-0.055690062534286038,-4.7859863001638564E-08,1048.6,GOOD,GOOD,
2,0,0,-0.05851100063687479,-5.8899646892093774E-08,1069.04,GOOD,GOOD,
2,0,0,-0.061466402737457307,-7.0041912871165589E-08,1090.76,GOOD,GOOD,
2,0,0,-0.064569871403331952,-8.034306769791175E-08,1112.62,GOOD,GOOD,
2,0,0,-0.067826111839532507,-9.0344051420848192E-08,1134,GOOD,GOOD,
2,0,0,-0.071242366213934816,-1.0061621810046127E-07,1156.01,GOOD,GOOD,
2,0,0,-0.074820534255945273,-1.1000998197841939E-07,1177.83,GOOD,GOOD,
2,0,0,-0.078577999393680598,-1.1961080141944644E-07,1199.67,GOOD,GOOD,
2,0,0,-0.082518893201709409,-1.2859137376234595E-07,1221.65,GOOD,GOOD,
2,0,0,-0.086650687863336129,-1.3711862794095288E-07,1243.32,GOOD,GOOD,
2,0,0,-0.090985806978317207,-1.4530497824584447E-07,1264.65,GOOD,GOOD,
2,0,0,-0.095530531469411983,-1.5381022588767708E-07,1287.91,GOOD,GOOD,
2,0,0,-0.10029902899787613,-1.6166067293871654E-07,1312.61,GOOD,GOOD,
2,0,0,-0.1052994393741134,-1.6914633255219958E-07,1337.36,GOOD,GOOD,
2,0,0,-0.11054217522705764,-1.7642143425445023E-07,1363.57,GOOD,GOOD,
2,0,0,-0.1160461827666969,-1.8348555811438096E-07,1389.67,GOOD,GOOD,
2,0,0,-0.12181865266865245,-1.9007243880246153E-07,1414.39,GOOD,GOOD,
2,0,0,-0.12787090511832888,-1.9661923528129676E-07,1440.52,GOOD,GOOD,
2,0,0,-0.13421949429631166,-2.0256114217185025E-07,1466.58,GOOD,GOOD,
2,0,0,-0.14087639836240978,-2.0887921688702311E-07,1492.83,GOOD,GOOD,
2,0,0,-0.14785687108908516,-2.1476175045679105E-07,1519.97,GOOD,GOOD,
2,0,0,-0.15518362689893314,-2.2027854045471099E-07,1546.9,GOOD,GOOD,
2,0,0,-0.16286575428801064,-2.2557067560966079E-07,1574.32,GOOD,GOOD,
2,0,0,-0.17092489273660491,-2.3078474711262912E-07,1601.22,GOOD,GOOD,
2,0,0,-0.17938032398057427,-2.3598470405353067E-07,1628.08,GOOD,GOOD,
