#RUN ON SOFTWARE VERSION:
2.1
#FIELD CONFIGURATIONS
Magnet: EM7-CSB
Power supply: LS648
Magnet mode: High field
Head amplitude: 100%
Gap settings: Gap 3 - SSVT
Coil set name: LC-86
Coil set serial number: A13AK
Coil set balance number: 0
Moment X calibration value: -0.0841900193038553 A·m²/volt
Moment X calibration field: 0.5 T
Moment X calibration expected moment: 0.00692 A·m²
Moment X calibration standard ID: Ni Sphere
Moment X calibration comments: 
#SAMPLE SETTINGS
ID: Sample1
Volume: 1.00000 cm³
Area: 1.00000 cm²
Mass: 1.00000 g
Demagnetization factor: 0.00000 in SI µ0H
#REMANENCE CURVES MEASUREMENT
#ACQUISITION SETUP
IRM: False
DCD: True
Saturation field: 2.5 T
Repeat saturation: False
Sequence: Nonlinear
First non-zero field: 100 µT
Number of points: 150
Final field: 2.5 T
Field ramp rate: 400 mT/s
Averaging time: 5 s
#ADVANCED ACQUISITION SETUP
Measure moment at applied fields: False
Pause at saturation: 0 s
Pause at applied field: 0 s
Pause at zero field: 0 s
Moment meter range mode: Manual
Moment meter manual X range: X5 (840 nA·m²)
#DISPLAY SETUP
X axis: Field (µ0H)
Left Y axis: Moment (m)
Right Y axis: None
#EXTRACTED PARAMETERS
No sample characterization parameter extractions enabled.
Hr [T]: -0.0408609260339971
mrMax [A·m²]: 2.8014451810546E-07
mr(100mT)/mrMax [%]: 74.5369194203617
mr(200mT)/mrMax [%]: 94.0152441957573
mr(300mT)/mrMax [%]: 97.0712102447647
START TIME: 01/13/2023 05:34:56.363 PM
FINISH TIME: 01/13/2023 06:36:44.953 PM
#DATA: 2
##DATA TABLE Moment (m) [A·m²] vs Field (µ0H) [T]
Step,Iteration,Segment,Field (µ0H) [T],Moment (m) [A·m²],Time Stamp [s],,Field Status,Moment (m) Status,
2,0,0,-9.0688155418732171E-07,2.7945145777059608E-07,0,GOOD,GOOD,
2,0,0,-0.00010243762804544831,2.7917110023754906E-07,6.95,GOOD,GOOD,
2,0,0,-0.00020587586408878891,2.7854451454794198E-07,16.1,GOOD,GOOD,
2,0,0,-0.00031275410817748378,2.7805502111126692E-07,25.03,GOOD,GOOD,
2,0,0,-0.00043071748069245085,2.7728742050662494E-07,34.28,GOOD,GOOD,
2,0,0,-0.0005522347922956016,2.7663735508534223E-07,43.23,GOOD,GOOD,
2,0,0,-0.00067892890077785484,2.761926347980582E-07,52.99,GOOD,GOOD,
2,0,0,-0.00081475841092851122,2.7532613038206306E-07,62.27,GOOD,GOOD,
2,0,0,-0.00095226986538621435,2.7444481943750864E-07,73.09,GOOD,GOOD,
2,0,0,-0.0011009355231847101,2.7361285848345974E-07,83.93,GOOD,GOOD,
2,0,0,-0.0012533142577809695,2.7275454212067542E-07,94.92,GOOD,GOOD,
2,0,0,-0.0014155084250326298,2.7171958333580465E-07,105.89,GOOD,GOOD,
2,0,0,-0.0015824081482919475,2.7096863131326927E-07,116.74,GOOD,GOOD,
2,0,0,-0.0017604955058368699,2.6966490177786406E-07,128.2,GOOD,GOOD,
2,0,0,-0.0019469444382074653,2.6873070723478427E-07,139.49,GOOD,GOOD,
2,0,0,-0.0021416531016074272,2.6777754176836392E-07,151.49,GOOD,GOOD,
2,0,0,-0.002345062949225003,2.6676216953266082E-07,164.14,GOOD,GOOD,
2,0,0,-0.0025594654090052272,2.6549909653178003E-07,176.5,GOOD,GOOD,
2,0,0,-0.0027858794106458478,2.640466660235173E-07,188.62,GOOD,GOOD,
2,0,0,-0.0030222375212497696,2.6238190394696337E-07,201.78,GOOD,GOOD,
