#RUN ON SOFTWARE VERSION:
2.1
#FIELD CONFIGURATIONS
Magnet: EM7-CSB
Power supply: LS648
Magnet mode: High field
Head amplitude: 100%
Gap settings: Gap 3 - SSVT
Coil set name: LC-86
Coil set serial number: A13AK
Coil set balance number: 0
Moment X calibration value: -0.0841900193038553 A·m²/volt
Moment X calibration field: 0.5 T
Moment X calibration expected moment: 0.00692 A·m²
Moment X calibration standard ID: Ni Sphere
Moment X calibration comments: 
#SAMPLE SETTINGS
ID: Sample1
Volume: 1.00000 cm³
Area: 1.00000 cm²
Mass: 1.00000 g
Demagnetization factor: 0.00000 in SI µ0H
#REMANENCE CURVES MEASUREMENT
#ACQUISITION SETUP
IRM: False
DCD: True
Saturation field: 2.5 T
Repeat saturation: False
Sequence: Nonlinear
First non-zero field: 100 µT
Number of points: 150
Final field: 2.5 T
Field ramp rate: 400 mT/s
Averaging time: 5 s
#ADVANCED ACQUISITION SETUP
Measure moment at applied fields: False
Pause at saturation: 0 s
Pause at applied field: 0 s
Pause at zero field: 0 s
Moment meter range mode: Manual
Moment meter manual X range: X5 (840 nA·m²)
#DISPLAY SETUP
X axis: Field (µ0H)
Left Y axis: Moment (m)
Right Y axis: None
#EXTRACTED PARAMETERS
No sample characterization parameter extractions enabled.
Hr [T]: -0.0367769795279868
mrMax [A·m²]: 1.9202123700609E-07
mr(100mT)/mrMax [%]: 73.0069304003898
mr(200mT)/mrMax [%]: 89.1988842522926
mr(300mT)/mrMax [%]: 93.5715639156603
START TIME: 01/14/2023 03:34:19.704 PM
FINISH TIME: 01/14/2023 04:35:51.274 PM
#DATA: 2
##DATA TABLE Moment (m) [A·m²] vs Field (µ0H) [T]
Step,Iteration,Segment,Field (µ0H) [T],Moment (m) [A·m²],Time Stamp [s],,Field Status,Moment (m) Status,
2,0,0,-2.6941078094033516E-06,1.916822801292992E-07,0,GOOD,GOOD,
2,0,0,-9.8416885401327207E-05,1.9119854689062228E-07,8.91,GOOD,GOOD,
2,0,0,-0.00020540957966744505,1.9071549608542584E-07,18.08,GOOD,GOOD,
2,0,0,-0.00031487336241737272,1.9038213140755092E-07,27.43,GOOD,GOOD,
2,0,0,-0.00043184925187904935,1.8960393082112353E-07,35.66,GOOD,GOOD,
2,0,0,-0.00055348865952515366,1.8948457483249627E-07,45.09,GOOD,GOOD,
2,0,0,-0.00068064736396641586,1.8833246065333369E-07,54.2,GOOD,GOOD,
2,0,0,-0.00081328816354734256,1.8787690933315312E-07,63.7,GOOD,GOOD,
2,0,0,-0.0009515880811331415,1.8706431815753606E-07,74.29,GOOD,GOOD,
2,0,0,-0.0011011617690797665,1.8660512737079011E-07,84.54,GOOD,GOOD,
2,0,0,-0.0012520868511595479,1.8562118777234736E-07,96.17,GOOD,GOOD,
2,0,0,-0.0014173581937098776,1.8492200854188551E-07,106.88,GOOD,GOOD,
2,0,0,-0.0015849991703818568,1.8411619116462542E-07,117.67,GOOD,GOOD,
2,0,0,-0.0017607703104648316,1.830036004315559E-07,129.56,GOOD,GOOD,
2,0,0,-0.001944369470701488,1.8221522704947352E-07,140.82,GOOD,GOOD,
2,0,0,-0.002143178725115341,1.8153198096580546E-07,152.72,GOOD,GOOD,
2,0,0,-0.0023464389547358925,1.8036354971598127E-07,164.87,GOOD,GOOD,
2,0,0,-0.0025602277603709702,1.7941499171882598E-07,177.13,GOOD,GOOD,
2,0,0,-0.0027862374702679292,1.781800750236507E-07,189.3,GOOD,GOOD,
2,0,0,-0.0030210598730338136,1.7676741547522308E-07,202.07,GOOD,GOOD,
