row_id,record_id,event_id,stage,role,time,coordinate,value,writer_field_T,source_time_s,protocol_segment
U1537A-24H-4W-126cm:hys:positive-history,U1537A-24H-4W-126cm,hys:positive-history,POST_WRITE,RECORD_READOUT,0,0.0,7.040729184278064e-07,1.500370361982332,90.34624203170503,HYSTERESIS_ZERO_FIELD_INTERPOLANT
U1537A-24H-4W-126cm:hys:negative-history,U1537A-24H-4W-126cm,hys:negative-history,POST_WRITE,RECORD_READOUT,1,0.0,-7.034195886458514e-07,-1.5001961868189653,271.93360426189173,HYSTERESIS_ZERO_FIELD_INTERPOLANT
U1537A-24H-4W-126cm:dcd:000,U1537A-24H-4W-126cm,dcd:000,POST_WRITE,RECORD_READOUT,2,0.0,6.913415110937991e-07,-1.7616834194576243e-06,0.0,DCD_WRITER_OFF_READOUT
U1537A-24H-4W-126cm:dcd:001,U1537A-24H-4W-126cm,dcd:001,POST_WRITE,RECORD_READOUT,3,0.0,6.906722123424957e-07,-9.973081237993616e-05,6.76,DCD_WRITER_OFF_READOUT
U1537A-24H-4W-126cm:dcd:002,U1537A-24H-4W-126cm,dcd:002,POST_WRITE,RECORD_READOUT,4,0.0,6.89047573334653e-07,-0.0002037365799291888,15.97,DCD_WRITER_OFF_READOUT
U1537A-24H-4W-126cm:dcd:003,U1537A-24H-4W-126cm,dcd:003,POST_WRITE,RECORD_READOUT,5,0.0,6.873105509132375e-07,-0.0003149179420647612,25.58,DCD_WRITER_OFF_READOUT
U1537A-24H-4W-126cm:dcd:004,U1537A-24H-4W-126cm,dcd:004,POST_WRITE,RECORD_READOUT,6,0.0,6.862336628410438e-07,-0.00043104556350872337,34.59,DCD_WRITER_OFF_READOUT
U1537A-24H-4W-126cm:dcd:005,U1537A-24H-4W-126cm,dcd:005,POST_WRITE,RECORD_READOUT,7,0.0,6.844463609413226e-07,-0.0005517340264700731,44.27,DCD_WRITER_OFF_READOUT
U1537A-24H-4W-126cm:dcd:006,U1537A-24H-4W-126cm,dcd:006,POST_WRITE,RECORD_READOUT,8,0.0,6.8281410149647e-07,-0.0006801111946359775,53.64,DCD_WRITER_OFF_READOUT
U1537A-24H-4W-126cm:dcd:007,U1537A-24H-4W-126cm,dcd:007,POST_WRITE,RECORD_READOUT,9,0.0,6.806856788757271e-07,-0.0008125820759888537,64.27,DCD_WRITER_OFF_READOUT
U1537A-24H-4W-126cm:dcd:008,U1537A-24H-4W-126cm,dcd:008,POST_WRITE,RECORD_READOUT,10,0.0,6.78137120877905e-07,-0.0009526830915756812,75.49,DCD_WRITER_OFF_READOUT
U1537A-24H-4W-126cm:dcd:009,U1537A-24H-4W-126cm,dcd:009,POST_WRITE,RECORD_READOUT,11,0.0,6.762720135215116e-07,-0.0011005924295873885,86.69,DCD_WRITER_OFF_READOUT
U1537A-24H-4W-126cm:dcd:010,U1537A-24H-4W-126cm,dcd:010,POST_WRITE,RECORD_READOUT,12,0.0,6.747628126258421e-07,-0.0012505753148803558,97.29,DCD_WRITER_OFF_READOUT
U1537A-24H-4W-126cm:dcd:011,U1537A-24H-4W-126cm,dcd:011,POST_WRITE,RECORD_READOUT,13,0.0,6.722153849599178e-07,-0.0014159987012956946,108.25,DCD_WRITER_OFF_READOUT
U1537A-24H-4W-126cm:dcd:012,U1537A-24H-4W-126cm,dcd:012,POST_WRITE,RECORD_READOUT,14,0.0,6.697316131576513e-07,-0.0015827424250445714,119.52,DCD_WRITER_OFF_READOUT
U1537A-24H-4W-126cm:dcd:013,U1537A-24H-4W-126cm,dcd:013,POST_WRITE,RECORD_READOUT,15,0.0,6.669325401653187e-07,-0.0017613249188357227,131.13,DCD_WRITER_OFF_READOUT
U1537A-24H-4W-126cm:dcd:014,U1537A-24H-4W-126cm,dcd:014,POST_WRITE,RECORD_READOUT,16,0.0,6.644480616184773e-07,-0.0019458816763349295,142.38,DCD_WRITER_OFF_READOUT
U1537A-24H-4W-126cm:dcd:015,U1537A-24H-4W-126cm,dcd:015,POST_WRITE,RECORD_READOUT,17,0.0,6.620305014458956e-07,-0.00214047001715421,154.51,DCD_WRITER_OFF_READOUT
U1537A-24H-4W-126cm:dcd:016,U1537A-24H-4W-126cm,dcd:016,POST_WRITE,RECORD_READOUT,18,0.0,6.590108809604439e-07,-0.0023458633091141957,166.78,DCD_WRITER_OFF_READOUT
U1537A-24H-4W-126cm:dcd:017,U1537A-24H-4W-126cm,dcd:017,POST_WRITE,RECORD_READOUT,19,0.0,6.560183258059735e-07,-0.002561097350694543,178.89,DCD_WRITER_OFF_READOUT
U1537A-24H-4W-126cm:dcd:018,U1537A-24H-4W-126cm,dcd:018,POST_WRITE,RECORD_READOUT,20,0.0,6.524150735064454e-07,-0.002787304677384895,191.31,DCD_WRITER_OFF_READOUT
U1537A-24H-4W-126cm:dcd:019,U1537A-24H-4W-126cm,dcd:019,POST_WRITE,RECORD_READOUT,21,0.0,6.492129758596477e-07,-0.0030196070772789954,203.69,DCD_WRITER_OFF_READOUT
U1537A-24H-4W-126cm:dcd:020,U1537A-24H-4W-126cm,dcd:020,POST_WRITE,RECORD_READOUT,22,0.0,6.451481420930787e-07,-0.0032687645350091515,216.48,DCD_WRITER_OFF_READOUT
U1537A-24H-4W-126cm:dcd:021,U1537A-24H-4W-126cm,dcd:021,POST_WRITE,RECORD_READOUT,23,0.0,6.413942806103404e-07,-0.0035283161762439796,229.08,DCD_WRITER_OFF_READOUT
U1537A-24H-4W-126cm:dcd:022,U1537A-24H-4W-126cm,dcd:022,POST_WRITE,RECORD_READOUT,24,0.0,6.37108434798178e-07,-0.0038022220367325515,241.9,DCD_WRITER_OFF_READOUT
U1537A-24H-4W-126cm:dcd:023,U1537A-24H-4W-126cm,dcd:023,POST_WRITE,RECORD_READOUT,25,0.0,6.321704010338964e-07,-0.004088055453101428,255.74,DCD_WRITER_OFF_READOUT
U1537A-24H-4W-126cm:dcd:024,U1537A-24H-4W-126cm,dcd:024,POST_WRITE,RECORD_READOUT,26,0.0,6.273527557331987e-07,-0.004388495170124201,269.62,DCD_WRITER_OFF_READOUT
U1537A-24H-4W-126cm:dcd:025,U1537A-24H-4W-126cm,dcd:025,POST_WRITE,RECORD_READOUT,27,0.0,6.225563210393542e-07,-0.004698059673087047,282.57,DCD_WRITER_OFF_READOUT
U1537A-24H-4W-126cm:dcd:026,U1537A-24H-4W-126cm,dcd:026,POST_WRITE,RECORD_READOUT,28,0.0,6.171758852325074e-07,-0.005031358695031459,297.3,DCD_WRITER_OFF_READOUT
U1537A-24H-4W-126cm:dcd:027,U1537A-24H-4W-126cm,dcd:027,POST_WRITE,RECORD_READOUT,29,0.0,6.111394828020315e-07,-0.005376907665503212,312.43,DCD_WRITER_OFF_READOUT
U1537A-24H-4W-126cm:dcd:028,U1537A-24H-4W-126cm,dcd:028,POST_WRITE,RECORD_READOUT,30,0.0,6.052286298316564e-07,-0.005739723740510513,327.67,DCD_WRITER_OFF_READOUT
U1537A-24H-4W-126cm:dcd:029,U1537A-24H-4W-126cm,dcd:029,POST_WRITE,RECORD_READOUT,31,0.0,5.99037679208092e-07,-0.006120497178241788,342.92,DCD_WRITER_OFF_READOUT
U1537A-24H-4W-126cm:dcd:030,U1537A-24H-4W-126cm,dcd:030,POST_WRITE,RECORD_READOUT,32,0.0,5.92776874119181e-07,-0.0065177757552336004,357.7,DCD_WRITER_OFF_READOUT
U1537A-24H-4W-126cm:dcd:031,U1537A-24H-4W-126cm,dcd:031,POST_WRITE,RECORD_READOUT,33,0.0,5.855746190228798e-07,-0.006937803093474701,372.93,DCD_WRITER_OFF_READOUT
U1537A-24H-4W-126cm:dcd:032,U1537A-24H-4W-126cm,dcd:032,POST_WRITE,RECORD_READOUT,34,0.0,5.778357458642504e-07,-0.007376273870018785,388.97,DCD_WRITER_OFF_READOUT
U1537A-24H-4W-126cm:dcd:033,U1537A-24H-4W-126cm,dcd:033,POST_WRITE,RECORD_READOUT,35,0.0,5.705815085941813e-07,-0.007835198090064043,404.43,DCD_WRITER_OFF_READOUT
U1537A-24H-4W-126cm:dcd:034,U1537A-24H-4W-126cm,dcd:034,POST_WRITE,RECORD_READOUT,36,0.0,5.61797676521225e-07,-0.008317821858841916,420.25,DCD_WRITER_OFF_READOUT
U1537A-24H-4W-126cm:dcd:035,U1537A-24H-4W-126cm,dcd:035,POST_WRITE,RECORD_READOUT,37,0.0,5.533814341701793e-07,-0.008824840522063226,435.33,DCD_WRITER_OFF_READOUT
U1537A-24H-4W-126cm:dcd:036,U1537A-24H-4W-126cm,dcd:036,POST_WRITE,RECORD_READOUT,38,0.0,5.432146718780303e-07,-0.009355909379952877,451.97,DCD_WRITER_OFF_READOUT
U1537A-24H-4W-126cm:dcd:037,U1537A-24H-4W-126cm,dcd:037,POST_WRITE,RECORD_READOUT,39,0.0,5.338199299475106e-07,-0.009912834994933799,468.39,DCD_WRITER_OFF_READOUT
U1537A-24H-4W-126cm:dcd:038,U1537A-24H-4W-126cm,dcd:038,POST_WRITE,RECORD_READOUT,40,0.0,5.246517481989245e-07,-0.010500423370357094,481.72,DCD_WRITER_OFF_READOUT
U1537A-24H-4W-126cm:dcd:039,U1537A-24H-4W-126cm,dcd:039,POST_WRITE,RECORD_READOUT,41,0.0,5.135860559654481e-07,-0.011117326845540386,495.11,DCD_WRITER_OFF_READOUT
U1537A-24H-4W-126cm:dcd:040,U1537A-24H-4W-126cm,dcd:040,POST_WRITE,RECORD_READOUT,42,0.0,5.00872092961971e-07,-0.011754553894671706,510.28,DCD_WRITER_OFF_READOUT
U1537A-24H-4W-126cm:dcd:041,U1537A-24H-4W-126cm,dcd:041,POST_WRITE,RECORD_READOUT,43,0.0,4.881719542039782e-07,-0.012428846130771226,525.38,DCD_WRITER_OFF_READOUT
U1537A-24H-4W-126cm:dcd:042,U1537A-24H-4W-126cm,dcd:042,POST_WRITE,RECORD_READOUT,44,0.0,4.7617994770600465e-07,-0.013137477992329272,539.26,DCD_WRITER_OFF_READOUT
U1537A-24H-4W-126cm:dcd:043,U1537A-24H-4W-126cm,dcd:043,POST_WRITE,RECORD_READOUT,45,0.0,4.613525867976317e-07,-0.013879323817340136,554.47,DCD_WRITER_OFF_READOUT
U1537A-24H-4W-126cm:dcd:044,U1537A-24H-4W-126cm,dcd:044,POST_WRITE,RECORD_READOUT,46,0.0,4.4702679883881925e-07,-0.014657567025703267,569.29,DCD_WRITER_OFF_READOUT
U1537A-24H-4W-126cm:dcd:045,U1537A-24H-4W-126cm,dcd:045,POST_WRITE,RECORD_READOUT,47,0.0,4.304687130396462e-07,-0.015471603303846202,584.86,DCD_WRITER_OFF_READOUT
U1537A-24H-4W-126cm:dcd:046,U1537A-24H-4W-126cm,dcd:046,POST_WRITE,RECORD_READOUT,48,0.0,4.146216436768639e-07,-0.01633070941345107,599.71,DCD_WRITER_OFF_READOUT
U1537A-24H-4W-126cm:dcd:047,U1537A-24H-4W-126cm,dcd:047,POST_WRITE,RECORD_READOUT,49,0.0,3.9689947567211097e-07,-0.01722527915636634,615.38,DCD_WRITER_OFF_READOUT
U1537A-24H-4W-126cm:dcd:048,U1537A-24H-4W-126cm,dcd:048,POST_WRITE,RECORD_READOUT,50,0.0,3.784024722724073e-07,-0.01816739586846211,630.91,DCD_WRITER_OFF_READOUT
U1537A-24H-4W-126cm:dcd:049,U1537A-24H-4W-126cm,dcd:049,POST_WRITE,RECORD_READOUT,51,0.0,3.5864360721517924e-07,-0.019157473485574745,647.43,DCD_WRITER_OFF_READOUT
U1537A-24H-4W-126cm:dcd:050,U1537A-24H-4W-126cm,dcd:050,POST_WRITE,RECORD_READOUT,52,0.0,3.3889999367525337e-07,-0.020191261944263877,665.09,DCD_WRITER_OFF_READOUT
U1537A-24H-4W-126cm:dcd:051,U1537A-24H-4W-126cm,dcd:051,POST_WRITE,RECORD_READOUT,53,0.0,3.1790612505375784e-07,-0.02127695572565828,682.55,DCD_WRITER_OFF_READOUT
