
========================================================================================================
E1 -- THE IDENTITY THAT COLLAPSES MY OWN PRE-REGISTRATION'S FOUR CHANNELS INTO ONE NUMBER
========================================================================================================
DERIVATION (no state needed).  On the physical sector the environment algebra A_env is EXACTLY
the COMMUTANT of A_S: both label spaces have GF(2) dim 6 and 4 with W_env = W_S^perp -- checked
below.  Write the minimal central projections of Z(A_S) as P_k.  Then Z(A_S)' = (+)_k B(H_k),
A_S|_k = M_2 (x) I_{m_k}, A_env|_k = I_2 (x) M_{m_k}, and for a PURE global state |psi>:
     S(A_S)   = H({p_k}) + sum_k p_k E_k        E_k = entanglement of the free qubit in block k
     S(A_env) = H({p_k}) + sum_k p_k E_k        (the SAME number -- commutant)
     S(A_S v A_env) = H({p_k})                  (pure inside each block)
     I(A_S:A_env)   = H({p_k}) + 2 sum_k p_k E_k
     I(A_S:A_Sigma) = H(Z(A_S)) = H({p_k})      (A_Sigma == Z(A_S), a SUBALGEBRA of A_S)
  =>  Delta_surf = 2 sum_k p_k E_k = 2 ( H_FULL(A_S) - H_CENTRE(A_S) )   FOR EVERY PURE STATE.

effective label space dim = 10 (= 2^10 operators = 32^2 = all of B(H_phys))
dim W_S = 4 ; dim W_S^perp = 6 ; dim W_env = 6 ; W_env == W_S^perp : True
   (A_env is therefore the FULL COMMUTANT of A_S, not merely a commuting subalgebra --
    which is why the environment can hold no more about S than the surface plus the free qubit.)

MEASURED on 6 Haar states and 6 ground states.  If this is an identity the residual is machine zero,
and then Delta_surf carries NO information beyond H_FULL - H_CENTRE.  PRINT THE RESIDUAL.
  state          Delta_surf     2*(H_FULL-H_CENTRE)   residual      sum_k p_k E_k
  haar0          1.183041888    1.183041888           4.44e-16      0.591520944
  haar1          1.343598073    1.343598073           8.88e-16      0.671799037
  haar2          1.270199493    1.270199493           4.44e-16      0.635099747
  haar3          1.234754364    1.234754364           4.44e-16      0.617377182
  haar4          1.181546191    1.181546191           4.44e-16      0.590773096
  haar5          1.398626211    1.398626211           4.44e-16      0.699313105
  gs g2=0.05     0.000000000    0.000000000           8.88e-16      0.000000000
  gs g2=0.45     0.000307821    0.000307821           4.44e-16      0.000153910
  gs g2=0.60     0.000325127    0.000325127           0.00e+00      0.000162564
  gs g2=0.80     0.000031980    0.000031980           2.22e-16      0.000015990
  gs g2=1.30     0.000000093    0.000000093           6.43e-15      0.000000046
  gs g2=5.00     0.000000000    0.000000000           0.00e+00      0.000000000
MAX RESIDUAL OVER 12 STATES = 6.425e-15  ->  IDENTITY CONFIRMED.

>>> CORRECTION TO MY OWN BINDING PRE-REGISTRATION.  The pre-registration declared Delta_surf as
    the primary quantity and declared FOUR channels, implying four tests.  There are not four.
    Delta_surf(FULL) = Delta_surf(BLOCK) exactly, Delta_surf(CENTRE) = 0 exactly, and
    Delta_surf(MAG) = half of Delta_surf(FULL) in every row of run_arms.py.  ONE NUMBER:
        C := sum_k p_k E_k = the CONDITIONAL FREE ENTROPY of the region given its surface.
    H-SURFACE says C = 0.  It is NOT forced to be 0: Haar states give C ~ 0.7 bits (below).

========================================================================================================
E2 -- THE EIGENSTATE LADDER.  ISOLATED VARIABLE: THE EIGENVALUE INDEX n.  NOTHING ELSE MOVES.
========================================================================================================
Same H, same sector, same Sigma, same algebra, same partition, same coupling.  Only n moves.
This separates GROUND-STATE SELECTION from every other property of the dynamics, which the
Haar arm cannot do (a Haar state also changes the energy, the sector statistics and the norm).
C = sum_k p_k E_k in bits.  H-SURFACE predicts C = 0.  Ceiling for this region is 1 bit.

g2 = 0.45  (inside the measured live window [0.4198, 0.8234])
   n    E_n            gap to n-1    H_FULL     H_CENTRE   C=sum p_k E_k   Delta_surf
   0    -11.85646676   nan           1.689408   1.689254   0.000153910     0.000307821
   1    -8.00584805    3.85061871    2.180311   1.849727   0.330584045     0.661168091
   2    -7.48942393    0.51642412    2.414039   1.849542   0.564497362     1.128994724
   3    -6.66692157    0.82250235    2.007647   1.769426   0.238220444     0.476440888
   4    -6.66692157    0.00000000    2.088000   1.841891   0.246109745     0.492219490
   5    -6.16626371    0.50065786    2.059021   1.896678   0.162342386     0.324684772
   6    -3.83583596    2.33042775    2.215882   1.838006   0.377876174     0.755752347
   7    -3.06481839    0.77101756    2.545698   1.914972   0.630726080     1.261452161
   8    -2.69721755    0.36760084    2.009631   1.775204   0.234427142     0.468854285
   9    -2.69721755    0.00000000    2.250442   1.996410   0.254031546     0.508063092
   10   -2.65296920    0.04424836    2.809655   1.927819   0.881835904     1.763671809
   11   -1.98325122    0.66971797    2.550074   1.933526   0.616548422     1.233096844
   12   -1.70129909    0.28195213    2.455669   1.797886   0.657783278     1.315566556
   13   -1.49755534    0.20374375    1.895821   1.895821   0.000000000     0.000000000
   14   -1.32222222    0.17533312    1.991615   1.983426   0.008189631     0.016379261
   15   -1.32222222    0.00000000    1.715343   1.709168   0.006175086     0.012350172
   16   0.80767824     2.12990047    2.264697   1.819989   0.444707936     0.889415872
   17   1.44168574     0.63400750    2.594554   1.943172   0.651382420     1.302764840
   18   1.98586339     0.54417764    1.800030   1.762613   0.037417559     0.074835118
   19   1.98586339     0.00000000    2.022748   1.981759   0.040989501     0.081979002
   20   2.02645836     0.04059498    2.633126   1.943969   0.689157458     1.378314915
   21   2.79053638     0.76407801    2.684075   1.897312   0.786763400     1.573526799
   22   2.95178567     0.16124929    2.500120   1.786220   0.713900397     1.427800794
   23   3.12222222     0.17043655    2.516308   1.939914   0.576393787     1.152787574
   24   3.12222222     0.00000000    2.401442   1.852438   0.549004208     1.098008416
   25   3.29755534     0.17533312    1.895821   1.895821   0.000000000     0.000000000
   26   5.87440484     2.57684950    2.245551   1.879281   0.366269609     0.732539218
   27   6.50527142     0.63086659    2.571273   1.924689   0.646584256     1.293168512
   28   7.37827574     0.87300432    2.223564   1.911289   0.312275380     0.624550760
   29   7.37827574     0.00000000    2.234828   1.920750   0.314077470     0.628154940
   30   7.49268621     0.11441047    1.920794   1.774544   0.146250325     0.292500650
   31   11.46566945    3.97298324    1.930014   1.929897   0.000117561     0.000235122
   >>> C(n=0) = 0.000153910   ;  mean C over n>=1 = 0.370472210  ;  min C over n>=1 = 0.000000000  ;  max C = 0.881835904
   >>> RATIO mean(C, n>=1) / C(n=0) = 2407.1

g2 = 0.60  (inside the measured live window [0.4198, 0.8234])
   n    E_n            gap to n-1    H_FULL     H_CENTRE   C=sum p_k E_k   Delta_surf
   0    -10.41803973   nan           1.077757   1.077594   0.000162564     0.000325127
   1    -6.77588270    3.64215703    2.279714   1.861423   0.418291022     0.836582044
   2    -6.47069955    0.30518314    2.155437   1.598823   0.556614187     1.113228375
   3    -5.59678302    0.87391653    1.643967   1.557455   0.086512430     0.173024860
   4    -5.59678302    0.00000000    1.331676   1.257279   0.074397266     0.148794533
   5    -4.64673722    0.95004581    2.174521   1.919836   0.254684425     0.509368850
   6    -3.28838952    1.35834770    2.421100   1.929804   0.491296543     0.982593086
   7    -2.77154055    0.51684897    2.601238   1.948226   0.653012024     1.306024047
   8    -2.43632183    0.33521872    2.630622   1.741864   0.888757990     1.777515980
   9    -2.10157975    0.33474209    2.667940   1.949120   0.718820427     1.437640853
   10   -2.10157975    0.00000000    2.690654   1.965708   0.724945622     1.449891244
   11   -1.59228499    0.50929476    2.500418   1.975811   0.524607037     1.049214074
