W-37e (1)  Z_3 NULL RESOLVED?  classical MI of the probe POSITION (no partial trace).
    n   N   dim  sectors  max I(R;position) bits  ceiling log2(N)
    4   2     8        2                0.999792           1.0000
    4   3    12        3                0.000000           1.5850
    5   2    10        2                0.000000           1.0000
    5   3    15        3                0.000000           1.5850
    6   2    12        2                0.982660           1.0000
    6   3    18        3                0.000000           1.5850
    7   2    14        2                0.000000           1.0000
    7   3    21        3                0.000000           1.5850

W-37e (2)  TWO PROBES AT ONCE (Z_2, no anti-charge needed). What does EACH one know alone?
    n   dim   I(R;probe1)   I(R;probe2)   I(R;both)   reading
    4    24      0.000000      0.000000    0.000000   not redundant: only the pair knows
    6    60      0.000000      0.000000    0.000000   not redundant: only the pair knows
