STATUS	MEANING
PROVED	theorem stated, proof written, machine-verified where numerical
DERIVED	follows from PROVED rows; no independent proof of its own
MEASURED	numerically established across a sweep; no proof
PARTIAL	one direction proved, the other open — named in BLOCKED_BY
CANDIDATE	assembled and coherent; not yet proved as a whole
DEFINED	a construction or definition, not a claim that can be true or false
OPEN	unsolved, route identified, solvable in this program
BLOCKED	unsolved, no route identified from here
FAILED	tested and did not hold; the negative result is registered
WITHDRAWN	was claimed by this program, since retracted
RECLASSIFIED	was on a defect list, since judged not a defect
NOT OURS	well-posed, but belongs to another program or to the wider field
